Customer_Acc,Transaction_ID,Timestamp,Amount,Type,Channel,Counterparty_Name,Counterparty_Account
CACC_fODU6kJ,TXN_B6XK0ud8ZmO,2024-07-18T17:33:28Z,321840.49,debit,DuitNOW,Mark Nichols,CACC_akWLneB
CACC_fODU6kJ,TXN_MEoo94leDGy,2024-01-26T11:18:56Z,834554.52,debit,Credit Transfer,"Barrett, Collins and Davis",CACC_hjCEWFX
CACC_fODU6kJ,TXN_7fEVIv2eykQ,2024-11-08T02:23:37Z,928264.49,credit,QR POS,Brown Inc,CACC_JIoaoCQ
CACC_fODU6kJ,TXN_KGISPzH8GhJ,2025-04-09T15:26:18Z,421761.79,credit,DuitNOW,"Yoder, Perez and Daniels",CACC_jlz9O9s
CACC_fODU6kJ,TXN_ZW5c4FP1mXE,2024-03-02T15:11:38Z,285723.74,credit,Other,Marcus Walker,CACC_HGCzOj3
CACC_fODU6kJ,TXN_hLE4Vn6lriP,2025-03-28T09:42:02Z,75727.31,debit,DuitNOW,Johnson LLC,CACC_2XIaE9T
CACC_fODU6kJ,TXN_LLAYlV8LWIl,2024-08-26T23:44:28Z,739982.53,debit,Other,Whitaker-Smith,CACC_yaHGa1c
CACC_fODU6kJ,TXN_0zPGNzvAGjG,2025-04-14T11:07:54Z,292678.62,credit,DuitNOW,Eric Lewis,CACC_fF2QWRg
CACC_fODU6kJ,TXN_onUEUcnYEsz,2024-04-29T23:22:50Z,729314.91,credit,Credit Transfer,Debra Hardin,CACC_ue80myE
CACC_fODU6kJ,TXN_k804bTRxAYW,2024-06-16T18:38:32Z,480475.3,credit,Other,Kathy Smith,CACC_aDVd9Z5
CACC_fODU6kJ,TXN_BY77QJhj3Qc,2024-08-25T05:01:08Z,856707.79,credit,QR POS,Michael Brooks,CACC_rLjOD9A
CACC_fODU6kJ,TXN_BvkHSNEcEz8,2025-04-12T14:01:37Z,645187.87,credit,Credit Transfer,Sarah Holland,CACC_y9YN3qv
CACC_lTE83CI,TXN_L0Runsje754,2024-06-26T23:40:27Z,103146.25,credit,Credit Transfer,Christopher Singh,CACC_EaxiKcx
CACC_lTE83CI,TXN_zYbGV90WTVd,2025-08-03T00:31:57Z,787399.48,credit,QR P2P,Sandoval Inc,CACC_tH5aW9T
CACC_lTE83CI,TXN_PYyrsDLNNFA,2025-01-03T22:00:24Z,415449.75,credit,DuitNOW,Caldwell-Mullins,CACC_ngB2LIz
CACC_lTE83CI,TXN_JUMHS0Gj4uR,2025-08-26T04:41:12Z,329286.83,debit,Credit Transfer,Michael Morgan,CACC_F83sNjO
CACC_lTE83CI,TXN_p4xW3XGqqaI,2025-07-27T22:22:02Z,781825.09,debit,QR POS,Katrina Harding,CACC_6rq99ob
CACC_lTE83CI,TXN_aNUqmMdFpAz,2025-07-02T14:30:04Z,670807.43,credit,DuitNOW,Lucas Meza,CACC_oC5KsvF
CACC_lTE83CI,TXN_4mPoyR6zJxX,2024-08-29T03:01:48Z,398135.74,credit,Other,Julia Garza,CACC_bwxgKk1
CACC_lTE83CI,TXN_RHHvKQgUfir,2024-12-29T22:18:24Z,766945.42,credit,Other,"Lewis, Harris and Todd",CACC_W7Zdtd4
CACC_lTE83CI,TXN_sMTuHrND4gA,2025-05-20T17:53:47Z,787797.06,debit,Other,Dan Paul,CACC_3xGm88E
CACC_KRrn1Zw,TXN_yqy8AhHlNvX,2025-07-23T05:12:25Z,729548.94,credit,Other,Suzanne Mclean,CACC_o3hVbXh
CACC_KRrn1Zw,TXN_sOuA5qIE3oW,2025-02-19T08:45:52Z,622130.59,credit,QR POS,"Adams, Pearson and Francis",CACC_PiQorqH
CACC_KRrn1Zw,TXN_LPtn3EggV8e,2024-07-11T14:43:43Z,404242.05,credit,Other,Cassie Morris,CACC_wmNAjQn
CACC_KRrn1Zw,TXN_mklp5krGgMe,2024-11-12T04:38:43Z,625850.39,credit,QR P2P,Christopher Rasmussen,CACC_EVofMLP
CACC_KRrn1Zw,TXN_ODhgWlVMOGb,2024-09-24T14:06:43Z,926839.45,debit,DuitNOW,Destiny Wagner,CACC_m7dEPUc
CACC_KRrn1Zw,TXN_V4dLjAQTdVz,2024-07-24T08:34:43Z,419056.83,credit,QR POS,Timothy Kim,CACC_xabmwnh
CACC_KRrn1Zw,TXN_YvG4IVIOpK1,2024-09-13T00:50:45Z,885390.28,debit,DuitNOW,Heidi Henderson,CACC_rDKE6v7
CACC_KRrn1Zw,TXN_pYKqrR0nzUo,2024-08-01T19:19:54Z,407090.78,credit,Credit Transfer,Diana Bryan,CACC_Rgeu0ox
CACC_KRrn1Zw,TXN_dSFFZ1nTlec,2025-03-12T17:14:08Z,422371.02,credit,Credit Transfer,John Mcguire,CACC_r2U2yhI
CACC_KRrn1Zw,TXN_HluXfnJjSbM,2024-09-19T13:22:54Z,26895.36,debit,QR P2P,Sergio Houston,CACC_1MANLk7
CACC_KRrn1Zw,TXN_KC2TmesFr4J,2024-03-25T03:45:33Z,725142.96,credit,Other,Jennifer Lamb,CACC_NCt3hqx
CACC_KRrn1Zw,TXN_2WHwHeiXWmh,2024-12-01T01:20:59Z,707232.03,debit,QR POS,Dale Salazar,CACC_kUrsAcn
CACC_KRrn1Zw,TXN_2zy733ZlWRc,2025-09-12T12:46:17Z,852920.21,credit,QR POS,Rodriguez Ltd,CACC_UiwUMDB
CACC_KRrn1Zw,TXN_rWL7n5hCRGs,2024-12-20T01:01:28Z,853146.31,debit,QR P2P,Rebecca Payne,CACC_tiJG5aF
CACC_KRrn1Zw,TXN_jFwRa2N1DB8,2025-07-10T06:12:31Z,274110.58,credit,Other,Evans-Ball,CACC_KYk7IWZ
CACC_qZJJf7Y,TXN_c9FEYm1Mwef,2024-07-07T08:20:48Z,779620.2,credit,DuitNOW,"Thomas, Haley and White",CACC_TvJDsbu
CACC_qZJJf7Y,TXN_C6SjGvaSnek,2024-08-04T06:20:43Z,843076.65,credit,QR POS,Alexander Meyer,CACC_lsDREk3
CACC_qZJJf7Y,TXN_FHJppFT7dFF,2025-01-25T03:56:45Z,763877.85,debit,DuitNOW,Stuart Herrera,CACC_FQ2toqh
CACC_qZJJf7Y,TXN_o5Jo7PWyQ78,2024-02-28T19:17:52Z,837804.11,debit,QR POS,Kim Jenkins,CACC_71R968r
CACC_qZJJf7Y,TXN_zXT9Ui4hnIc,2024-03-11T22:12:10Z,516852.73,credit,QR P2P,Flores-Fowler,CACC_Zj2nztO
